日期,車輛,任務,出發時間,返回時間,里程
2031-02-10,MX2037,通訊校準,12:00-18:00,06:00-12:00,217
2031-03-11,MX2038,溫室維護,00:00-06:00,06:00-12:00,386
2031-04-12,MX2039,設備巡檢,00:00-06:00,12:00-18:00,234
2031-05-13,MX2040,設備巡檢,00:00-06:00,00:00-06:00,47
2031-06-14,MX2041,溫室維護,00:00-06:00,00:00-06:00,88
2031-07-15,MX2042,艙外維修,06:00-12:00,12:00-18:00,445
2031-08-16,MX2043,地表採樣,06:00-12:00,12:00-18:00,296
2031-09-17,MX2044,艙外維修,00:00-06:00,06:00-12:00,435
2031-10-18,M-2045,物資盤點,06:00-12:00,12:00-18:00,190
2031-11-19,M-2046,地表採樣,06:00-12:00,00:00-06:00,30
2031-12-20,M-2047,物資盤點,12:00-18:00,06:00-12:00,134
2031-01-21,M2048,通訊校準,00:00-06:00,06:00-12:00,131
2031-02-22,M-2049,艙外維修,06:00-12:00,06:00-12:00,204
2031-03-23,M-2050,設備巡檢,00:00-06:00,00:00-06:00,270
2031-04-24,M2051,艙外維修,12:00-18:00,00:00-06:00,38
2031-05-25,M2052,通訊校準,00:00-06:00,00:00-06:00,357
2031-06-26,M-2053,地表採樣,00:00-06:00,06:00-12:00,63
2031-07-27,MX2054,物資盤點,00:00-06:00,00:00-06:00,397
2031-08-28,M-2055,溫室維護,06:00-12:00,06:00-12:00,182
2031-09-01,M-2056,艙外維修,00:00-06:00,12:00-18:00,97
2031-10-02,M2057,地表採樣,00:00-06:00,06:00-12:00,35
2031-11-03,M-2058,地表採樣,06:00-12:00,06:00-12:00,138
2031-12-04,M2059,地表採樣,12:00-18:00,06:00-12:00,41
2031-01-05,M2060,物資盤點,12:00-18:00,00:00-06:00,484
2031-02-06,MX2061,設備巡檢,06:00-12:00,06:00-12:00,129
2031-03-07,M-2062,通訊校準,06:00-12:00,06:00-12:00,
2031-04-08,M-2063,艙外維修,00:00-06:00,00:00-06:00,160
2031-05-09,M-2064,通訊校準,06:00-12:00,06:00-12:00,266
2031-06-10,MX2065,艙外維修,06:00-12:00,06:00-12:00,249
2031-07-11,M2066,地表採樣,00:00-06:00,00:00-06:00,74
2031-08-12,MX2067,物資盤點,06:00-12:00,12:00-18:00,297
2031-09-13,MX2068,物資盤點,00:00-06:00,06:00-12:00,389
2031-10-14,M2069,艙外維修,,00:00-06:00,193
2031-11-15,MX2070,通訊校準,12:00-18:00,00:00-06:00,231
2031-12-16,M2071,地表採樣,06:00-12:00,06:00-12:00,180
2031-01-17,MX2072,地表採樣,06:00-12:00,06:00-12:00,342
2031-02-18,M2073,物資盤點,00:00-06:00,06:00-12:00,339
2031-03-19,M2074,通訊校準,00:00-06:00,,350
2031-04-20,M-2075,溫室維護,06:00-12:00,00:00-06:00,138
2031-05-21,M-2076,地表採樣,06:00-12:00,06:00-12:00,148
2031-06-22,M-2077,物資盤點,00:00-06:00,00:00-06:00,111
2031-07-23,M-2078,溫室維護,06:00-12:00,00:00-06:00,217
2031-08-24,M2079,溫室維護,00:00-06:00,06:00-12:00,343
2031-09-25,M-2080,艙外維修,12:00-18:00,00:00-06:00,101
2031-10-26,M-2081,通訊校準,12:00-18:00,00:00-06:00,15
2031-11-27,MX2082,地表採樣,12:00-18:00,12:00-18:00,403
2031-12-28,M2083,通訊校準,06:00-12:00,12:00-18:00,411
2031-01-01,MX2084,通訊校準,12:00-18:00,12:00-18:00,421
2031-02-02,M2085,地表採樣,06:00-12:00,06:00-12:00,130
2031-03-03,M2086,設備巡檢,06:00-12:00,12:00-18:00,329
2031-04-04,MX2087,地表採樣,06:00-12:00,06:00-12:00,477
2031-05-05,M-2088,通訊校準,00:00-06:00,00:00-06:00,144
2031-06-06,M2089,物資盤點,06:00-12:00,06:00-12:00,490
2031-07-07,M-2090,設備巡檢,12:00-18:00,06:00-12:00,177
2031-08-08,M-2091,地表採樣,00:00-06:00,06:00-12:00,361
2031-09-09,M-2092,艙外維修,00:00-06:00,00:00-06:00,317
2031-10-10,MX2093,地表採樣,06:00-12:00,12:00-18:00,209
2031-11-11,M2094,設備巡檢,06:00-12:00,00:00-06:00,174
2031-12-12,M-2095,設備巡檢,06:00-12:00,00:00-06:00,58
2031-01-13,M-2096,地表採樣,00:00-06:00,06:00-12:00,389
2031-02-14,M-2097,溫室維護,12:00-18:00,00:00-06:00,270
2031-03-15,MX2098,物資盤點,06:00-12:00,06:00-12:00,406
2031-04-16,M2099,艙外維修,12:00-18:00,06:00-12:00,247
2031-05-17,M-2100,地表採樣,00:00-06:00,12:00-18:00,317
2031-06-18,MX2101,物資盤點,00:00-06:00,12:00-18:00,337
2031-07-19,M2102,艙外維修,06:00-12:00,00:00-06:00,230
2031-08-20,M2103,物資盤點,00:00-06:00,12:00-18:00,35
2031-09-21,MX2104,地表採樣,12:00-18:00,00:00-06:00,357
2031-10-22,M2105,物資盤點,06:00-12:00,00:00-06:00,25
2031-11-23,M-2106,通訊校準,06:00-12:00,06:00-12:00,5
2031-12-24,M2107,物資盤點,06:00-12:00,12:00-18:00,375
2031-01-25,M-2108,設備巡檢,06:00-12:00,00:00-06:00,146
2031-02-26,M-2109,設備巡檢,06:00-12:00,06:00-12:00,326
2031-03-27,M2110,艙外維修,12:00-18:00,00:00-06:00,337
2031-04-28,MX2111,艙外維修,06:00-12:00,00:00-06:00,114
2031-05-01,M-2112,物資盤點,00:00-06:00,06:00-12:00,207
2031-06-02,M2113,溫室維護,00:00-06:00,12:00-18:00,475
2031-07-03,MX2114,通訊校準,06:00-12:00,00:00-06:00,354
2031-08-04,M2115,物資盤點,06:00-12:00,00:00-06:00,202
2031-09-05,M2116,物資盤點,00:00-06:00,00:00-06:00,301
2031-10-06,M2117,通訊校準,12:00-18:00,06:00-12:00,403
2031-11-07,M2118,艙外維修,06:00-12:00,06:00-12:00,196
2031-12-08,MX2119,艙外維修,06:00-12:00,00:00-06:00,84
2031-01-09,MX2120,物資盤點,00:00-06:00,12:00-18:00,469
2031-02-10,MX2121,設備巡檢,06:00-12:00,00:00-06:00,77
2031-03-11,M2122,設備巡檢,06:00-12:00,06:00-12:00,334
2031-04-12,MX2123,設備巡檢,12:00-18:00,12:00-18:00,298
2031-05-13,M2124,通訊校準,06:00-12:00,00:00-06:00,407
2031-06-14,M2125,,12:00-18:00,12:00-18:00,489
2031-07-15,M2126,地表採樣,12:00-18:00,06:00-12:00,489
2031-08-16,M2127,設備巡檢,00:00-06:00,06:00-12:00,291
2031-09-17,M-2128,設備巡檢,06:00-12:00,,477
2031-10-18,M-2129,艙外維修,06:00-12:00,06:00-12:00,28
